author,female,source
w0001.1,0,1
w0002.1,0,1
w0003.1,0,0
w0004.1,0,0
w0005.1,0,1
w0006.1,0,1
w0007.1,0,1
w0008.1,-1,-2
w0008.2,0,1
w0010.1,0,1
w0012.1,0,1
w0013.1,0,1
w0014.2,0,1
w0015.1,0,1
w0016.1,0,1
w0017.1,0,1
w0018.1,0,1
w0019.1,0,1
w0019.2,0,1
w0019.3,0,1
w0019.4,0,1
w0020.1,0,1
w0021.1,0,1
w0021.2,0,1
w0022.1,0,1
w0023.1,0,1
w0024.1,0,1
w0024.2,0,1
w0025.1,0,1
w0027.1,1,1
w0028.1,0,1
w0029.1,1,1
w0030.1,1,1
w0031.1,0,1
w0032.1,0,1
w0033.1,0,1
w0034.1,0,1
w0037.1,0,1
w0039.1,0,1
w0040.1,0,1
w0041.1,0,1
w0042.1,0,1
w0043.1,0,1
w0044.2,0,1
w0045.1,0,1
w0045.2,0,1
w0046.1,0,1
w0046.2,0,1
w0046.3,1,1
w0048.1,0,0
w0048.2,0,1
w0050.2,0,1
w0051.1,0,1
w0052.1,0,1
w0056.1,0,1
w0057.1,0,1
w0058.2,0,1
w0059.1,1,1
w0060.1,0,1
w0061.1,0,1
w0065.1,0,1
w0066.1,0,1
w0067.1,0,1
w0068.1,0,1
w0069.1,0,0
w0071.2,0,1
w0072.1,0,1
w0073.1,0,1
w0079.1,0,1
w0083.1,0,1
w0086.1,0,1
w0089.1,0,1
w0090.1,0,1
w0094.1,0,1
w0095.1,0,1
w0101.1,0,1
w0101.2,0,1
w0101.3,0,1
w0102.1,0,1
w0106.1,0,1
w0106.2,0,1
w0107.1,0,1
w0109.2,0,1
w0114.1,0,1
w0114.2,0,1
w0115.1,0,1
w0118.1,0,1
w0123.2,0,1
w0124.1,0,1
w0126.1,0,1
w0132.1,0,1
w0133.1,0,1
w0134.1,0,1
w0136.1,0,1
w0139.1,0,1
w0143.1,0,1
w0144.1,0,1
w0149.1,0,1
w0151.1,0,1
w0157.1,0,0
w0157.2,0,0
w0158.1,0,1
w0159.1,0,1
w0160.1,0,1
w0162.1,0,1
w0164.1,1,1
w0165.1,0,0
w0165.2,0,1
w0166.1,0,1
w0169.2,0,1
w0174.2,0,1
w0176.1,0,1
w0179.1,0,1
w0179.2,0,1
w0180.1,1,1
w0182.1,0,1
w0183.2,0,1
w0188.1,0,1
w0189.1,0,1
w0190.1,0,1
w0190.2,0,1
w0190.3,1,1
w0194.1,0,1
w0196.2,0,1
w0197.1,0,1
w0200.1,1,1
w0201.1,0,1
w0204.1,0,1
w0207.1,0,1
w0208.1,0,0
w0208.2,0,1
w0209.1,0,1
w0212.1,0,1
w0214.1,0,0
w0216.1,0,1
w0218.2,0,1
w0219.2,0,1
w0224.1,0,1
w0225.1,0,1
w0226.1,0,1
w0234.1,0,1
w0240.1,1,1
w0243.2,0,1
w0244.1,1,1
w0245.1,0,1
w0247.1,1,1
w0250.3,0,1
w0253.1,0,1
w0265.1,0,1
w0265.2,0,1
w0266.1,0,1
w0266.2,0,1
w0267.1,0,1
w0267.2,0,1
w0268.1,0,1
w0269.1,0,1
w0270.1,0,1
w0274.1,0,0
w0274.2,0,1
w0279.2,0,1
w0281.1,0,0
w0286.1,0,1
w0287.1,0,1
w0288.1,0,2
w0290.2,0,1
w0291.1,0,0
w0293.3,0,1
w0297.1,0,0
w0297.2,0,1
w0298.1,0,1
w0300.1,0,1
w0300.2,0,1
w0303.1,0,1
w0303.2,0,1
w0304.1,0,1
w0306.1,0,1
w0307.1,0,1
w0310.1,0,1
w0311.1,0,0
w0319.1,0,1
w0319.2,0,1
w0320.2,1,1
w0321.1,0,1
w0322.1,0,0
w0324.2,0,1
w0325.1,0,1
w0326.1,0,1
w0329.2,0,1
w0333.1,0,1
w0335.1,0,1
w0336.1,0,1
w0337.1,0,1
w0337.2,0,1
w0337.4,0,1
w0339.1,0,1
w0340.2,0,1
w0342.1,0,1
w0342.2,0,1
w0343.1,0,0
w0343.2,0,0
w0343.3,0,2
w0344.1,0,0
w0346.2,0,1
w0350.2,0,1
w0353.1,0,1
w0358.1,0,1
w0359.2,0,1
w0362.1,1,1
w0362.2,0,1
w0363.2,1,1
w0367.1,0,1
w0367.2,0,1
w0369.1,0,1
w0370.1,0,1
w0371.1,0,1
w0374.1,1,1
w0374.2,0,1
w0375.1,1,1
w0376.1,0,1
w0377.1,0,1
w0377.2,0,1
w0378.2,1,1
w0379.1,0,1
w0380.1,0,1
w0383.2,0,-1
w0384.1,0,0
w0384.2,0,1
w0388.2,0,1
w0389.1,0,1
w0389.2,-1,0
w0391.1,0,1
w0392.1,0,1
w0393.1,0,1
w0396.1,0,1
w0396.2,0,1
w0397.1,0,1
w0402.1,0,1
w0406.1,0,1
w0406.2,0,1
w0407.2,0,1
w0409.2,0,1
w0410.1,0,1
w0415.1,0,1
w0415.2,0,1
w0417.1,0,1
w0419.2,0,1
w0421.1,0,1
w0424.1,0,1
w0425.1,0,1
w0426.1,0,1
w0430.1,0,1
w0434.1,0,1
w0436.1,0,1
w0436.3,0,0
w0444.1,0,1
w0451.1,0,1
w0462.1,0,1
w0470.1,0,1
w0471.1,0,1
w0471.2,0,1
w0476.2,0,1
w0479.1,0,1
w0480.1,0,1
w0481.1,0,1
w0481.2,0,1
w0484.1,0,1
w0485.1,0,1
w0487.1,0,1
w0497.1,0,1
w0498.2,0,1
w0500.1,1,1
w0500.2,0,1
w0501.1,1,0
w0502.1,0,1
w0505.1,0,1
w0508.1,0,1
w0509.2,1,1
w0510.1,0,1
w0511.1,0,0
w0519.1,0,1
w0519.2,0,1
w0523.2,0,1
w0524.1,0,1
w0527.1,0,1
w0532.2,0,2
w0533.1,0,1
w0535.2,0,1
w0536.1,0,1
w0536.2,0,1
w0536.3,0,1
w0537.2,0,1
w0541.1,1,1
w0542.1,0,1
w0543.1,0,1
w0544.1,0,1
w0545.1,0,1
w0549.1,0,1
w0549.2,0,1
w0550.1,0,1
w0556.1,0,1
w0559.1,0,1
w0562.2,0,1
w0564.2,0,1
w0566.1,0,1
w0570.1,0,1
w0570.2,0,1
w0571.1,0,1
w0572.1,0,1
w0583.1,0,1
w0583.2,1,1
w0590.1,1,1
w0590.2,0,1
w0590.3,0,1
w0590.4,0,1
w0591.1,0,1
w0592.1,0,1
w0594.1,0,1
w0596.1,0,1
w0602.1,0,1
w0603.1,0,1
w0610.1,0,1
w0612.1,0,1
w0612.2,0,1
w0613.1,0,1
w0614.1,0,1
w0615.2,0,1
w0628.2,0,0
w0633.1,0,1
w0641.1,1,1
w0643.1,0,0
w0647.1,0,1
w0649.1,0,1
w0661.1,0,1
w0662.1,0,1
w0663.1,0,1
w0671.1,0,1
w0675.1,0,1
w0676.1,0,1
w0676.3,0,1
w0692.1,0,1
w0692.2,0,0
w0698.1,0,1
w0702.1,0,1
w0706.1,1,1
w0709.2,0,1
w0717.1,0,1
w0717.2,0,1
w0725.1,0,1
w0736.1,0,1
w0736.2,0,1
w0736.3,0,1
w0737.2,0,1
w0747.1,1,1
w0748.2,0,1
w0757.2,0,1
w0758.1,0,1
w0762.1,0,1
w0768.1,0,1
w0772.1,0,1
w0772.2,1,1
w0773.1,0,1
w0790.1,0,1
w0790.3,0,1
w0794.1,0,1
w0794.2,0,1
w0800.1,0,1
w0805.1,0,1
w0807.1,0,1
w0813.1,0,1
w0819.2,0,1
w0826.1,0,1
w0827.1,0,1
w0828.2,1,1
w0832.1,0,1
w0839.1,0,1
w0840.2,1,1
w0841.1,0,1
w0842.1,0,1
w0853.1,0,1
w0853.2,0,1
w0855.1,0,1
w0856.1,0,1
w0863.1,0,1
w0871.2,0,1
w0873.2,0,1
w0875.1,0,1
w0878.1,1,1
w0879.1,0,1
w0880.1,0,1
w0882.1,0,2
w0884.1,0,1
w0884.2,0,1
w0885.2,0,1
w0890.1,0,1
w0890.3,0,1
w0890.4,0,1
w0890.5,0,1
w0893.2,0,1
w0895.1,0,1
w0895.2,0,1
w0904.1,0,1
w0904.2,0,1
w0906.2,0,1
w0908.1,0,1
w0908.2,1,1
w0908.3,0,1
w0908.4,0,1
w0912.1,0,1
w0919.3,0,1
w0923.1,0,0
w0924.2,0,1
w0925.1,0,1
w0927.3,0,1
w0935.1,0,1
w0937.2,0,1
w0938.2,0,1
w0941.1,0,1
w0941.2,0,1
w0945.1,0,1
w0946.1,0,1
w0949.2,0,0
w0952.1,0,1
w0953.2,0,0
w0958.1,0,1
w0960.1,0,1
w0960.2,0,1
w0965.1,0,1
w0968.1,0,1
w0973.1,0,1
w0975.1,0,1
w0975.2,0,1
w0981.1,0,2
w0981.2,0,1
w0984.2,0,1
w0987.3,0,1
w0998.1,0,0
w0998.2,0,1
w1005.1,0,1
w1006.1,0,1
w1008.1,0,1
w1014.1,0,1
w1015.2,0,1
w1016.1,0,1
w1019.1,0,1
w1021.2,0,1
w1022.1,1,1
w1030.1,0,1
w1040.1,0,1
w1043.1,0,1
w1045.1,0,1
w1049.1,0,1
w1049.2,0,1
w1059.1,0,2
w1060.1,-1,0
w1062.2,0,0
w1063.1,0,1
w1068.2,0,1
w1075.1,0,2
w1076.2,0,1
w1076.4,0,1
w1081.1,0,1
w1081.2,0,1
w1088.2,0,1
w1089.1,0,1
w1090.2,0,1
w1091.1,0,1
w1093.1,0,1
w1098.1,0,1
w1098.2,0,1
w1101.1,0,1
w1105.1,0,1
w1111.1,0,1
w1113.2,0,1
w1114.1,0,1
w1115.2,0,1
w1116.2,0,1
w1121.1,0,0
w1132.1,0,1
w1132.2,0,1
w1132.3,0,1
w1137.1,0,1
w1139.1,0,1
w1140.1,0,1
w1142.2,0,1
w1143.1,0,1
w1143.2,0,1
w1143.3,0,1
w1144.2,0,1
w1145.1,1,1
w1145.2,0,1
w1156.2,0,0
w1157.1,0,1
w1159.1,0,1
w1159.2,0,1
w1167.2,0,1
w1168.1,0,1
w1168.3,0,1
w1169.1,0,1
w1171.1,0,1
w1175.1,0,1
w1176.1,0,1
w1180.2,0,1
w1183.2,0,1
w1184.2,0,1
w1192.1,1,1
w1192.2,0,1
w1195.1,0,1
w1198.1,0,1
w1198.2,0,1
w1199.2,1,1
w1200.1,0,1
w1201.1,0,1
w1201.2,0,1
w1202.3,0,1
w1203.1,0,1
w1211.1,0,1
w1215.3,0,1
w1216.1,0,1
w1217.1,0,1
w1231.2,0,1
w1239.3,0,1
w1242.2,0,1
w1243.2,-1,0
w1245.2,0,0
w1255.1,0,1
w1256.1,0,0
w1256.2,0,1
w1258.1,0,1
w1260.1,0,1
w1263.1,0,1
w1264.3,0,1
w1267.1,0,1
w1271.2,0,1
w1273.2,0,1
w1280.1,0,1
w1281.1,0,1
w1283.1,0,0
w1285.1,0,1
w1303.1,0,1
w1303.2,0,1
w1304.1,0,1
w1314.1,0,1
w1315.1,0,1
w1316.1,1,1
w1317.1,1,0
w1323.1,0,1
w1325.1,0,1
w1335.1,0,1
w1341.1,1,1
w1342.2,0,1
w1357.1,1,1
w1358.2,0,1
w1359.2,0,0
w1361.1,0,1
w1362.2,0,0
w1364.1,0,1
w1364.2,0,1
w1369.1,0,1
w1376.2,0,1
w1382.1,0,1
w1387.1,1,1
w1388.1,0,1
w1390.1,0,1
w1399.1,0,1
w1400.2,0,1
w1400.3,0,1
w1401.2,1,1
w1406.2,0,1
w1408.2,0,1
w1410.2,0,1
w1412.1,0,1
w1415.1,0,1
w1415.2,0,1
w1417.1,0,1
w1418.1,0,1
w1426.1,0,1
w1427.2,0,1
w1444.1,0,1
w1447.1,0,1
w1447.3,0,1
w1447.4,0,1
w1449.2,0,1
w1455.2,0,1
w1463.1,1,1
w1465.1,0,1
w1465.3,0,1
w1467.1,0,1
w1467.2,0,1
w1468.1,0,1
w1470.2,0,1
w1472.2,0,1
w1480.1,1,1
w1480.2,0,1
w1480.3,0,1
w1481.1,0,1
w1481.2,0,1
w1496.2,0,1
w1504.1,0,1
w1505.2,0,1
w1513.1,0,0
w1514.1,0,1
w1525.1,0,1
w1530.2,0,1
w1531.1,0,1
w1534.2,0,1
w1535.1,1,1
w1536.1,1,1
w1539.1,0,1
w1540.1,0,1
w1541.1,0,1
w1542.2,0,1
w1553.1,0,0
w1554.1,1,1
w1558.1,0,1
w1558.2,0,1
w1562.1,0,1
w1562.2,0,1
w1564.2,0,1
w1567.2,1,1
w1569.1,0,1
w1575.2,0,1
w1578.2,0,1
w1581.1,0,1
w1582.1,0,1
w1588.1,0,1
w1590.2,0,0
w1593.1,0,1
w1594.1,0,1
w1604.1,1,1
w1607.2,0,1
w1612.1,0,0
w1613.2,0,1
w1616.1,0,1
w1623.1,0,1
w1625.1,0,1
w1632.1,0,1
w1633.1,1,1
w1633.3,0,1
w1637.2,1,1
w1647.2,0,1
w1658.1,0,1
w1661.1,1,1
w1665.1,1,1
w1665.2,1,1
w1665.3,1,1
w1667.1,0,1
w1669.1,0,1
w1671.1,0,1
w1671.2,0,1
w1672.2,0,1
w1679.1,0,1
w1684.1,0,1
w1684.2,0,1
w1688.1,0,0
w1690.1,1,1
w1693.1,1,1
w1695.1,0,1
w1698.1,0,1
w1701.2,0,1
w1705.2,0,1
w1706.1,0,1
w1715.2,0,1
w1721.1,0,1
w1721.2,0,1
w1729.3,0,1
w1730.1,0,1
w1732.2,0,1
w1734.1,0,1
w1735.1,0,1
w1736.1,0,1
w1738.2,0,1
w1755.2,0,1
w1762.2,0,1
w1763.2,0,1
w1764.1,0,1
w1764.2,1,1
w1766.3,0,1
w1767.1,0,1
w1770.1,0,0
w1774.1,0,1
w1783.1,0,1
w1784.1,0,0
w1784.2,0,1
w1791.1,0,1
w1803.2,0,1
w1816.1,0,1
w1818.1,0,1
w1824.2,0,1
w1831.2,0,1
w1838.1,1,1
w1843.2,0,0
w1851.1,0,1
w1855.2,0,1
w1857.1,0,0
w1862.2,0,1
w1865.2,0,1
w1866.1,0,1
w1870.1,0,1
w1874.1,0,1
w1877.2,0,1
w1878.1,0,1
w1887.2,0,1
w1889.2,0,1
w1891.1,0,1
w1895.1,1,1
w1901.2,1,1
w1901.3,0,1
w1901.4,0,1
w1910.1,0,1
w1918.2,0,1
w1918.3,0,1
w1919.1,0,1
w1932.2,0,1
w1936.2,0,1
w1937.1,0,1
w1938.1,0,1
w1940.1,0,1
w1952.1,0,1
w1954.1,0,1
w1954.2,0,1
w1969.1,1,1
w1971.1,0,1
w1972.1,0,1
w1975.1,0,1
w1977.1,0,1
w1981.2,0,1
w1985.1,0,1
w1999.1,0,1
w2012.1,0,1
w2013.1,0,1
w2016.1,0,1
w2018.1,0,1
w2021.1,1,1
w2025.1,0,1
w2029.1,1,1
w2030.2,0,1
w2030.3,0,1
w2030.4,1,1
w2043.1,0,1
w2043.3,0,1
w2046.1,0,1
w2054.1,0,1
w2055.3,0,1
w2057.1,0,1
w2057.2,0,1
w2059.2,1,1
w2074.1,0,1
w2078.1,0,1
w2079.1,1,1
w2081.1,0,1
w2086.2,0,1
w2089.1,1,1
w2090.3,0,1
w2094.2,0,1
w2095.1,1,1
w2098.2,0,1
w2101.1,0,1
w2104.2,1,1
w2107.2,0,1
w2111.1,0,1
w2113.2,0,1
w2122.2,0,1
w2124.1,0,1
w2125.3,0,1
w2131.1,0,1
w2143.1,1,1
w2145.1,0,1
w2148.1,0,1
w2148.3,-1,0
w2149.2,0,1
w2153.1,0,1
w2155.2,1,1
w2157.2,0,1
w2159.2,0,1
w2161.1,0,1
w2165.1,0,1
w2166.1,0,1
w2168.1,0,1
w2171.1,0,1
w2171.2,0,1
w2173.1,0,1
w2183.2,0,1
w2183.3,0,1
w2184.3,0,1
w2196.1,0,1
w2197.1,1,1
w2197.2,1,1
w2201.2,0,1
w2205.1,0,1
w2205.2,0,1
w2205.3,0,1
w2207.3,0,1
w2209.1,0,1
w2213.2,0,0
w2214.1,0,1
w2219.1,0,1
w2230.2,0,1
w2232.1,0,0
w2232.2,0,1
w2234.1,0,1
w2234.3,0,1
w2235.1,1,1
w2238.2,1,1
w2241.2,0,1
w2243.2,1,1
w2246.1,0,1
w2246.2,0,1
w2250.1,0,0
w2269.2,1,0
w2278.1,0,1
w2279.2,1,1
w2282.1,1,1
w2282.3,1,1
w2284.2,0,1
w2290.2,0,1
w2299.1,0,1
w2300.1,0,1
