author,name,user_nber,user_repec,female,sex_source
w0001.1,Finis Welch,finis_welch,NA,0,1
w0002.1,Barry R Chiswick,barry_chiswick,pch425,0,1
w0003.1,Swarnjit S Arora,swarnjit_arora,NA,0,0
w0004.1,Lee A Lillard,NA,pli669,0,0
w0005.1,James P Smith,james_smith,psm28,0,1
w0006.1,Victor Zarnowitz,victor_zarnowitz,NA,0,1
w0007.1,Lewis C Solmon,NA,NA,0,1
w0008.1,Merle Yahr Weiss,NA,NA,-1,-2
w0008.2,Robert E Lipsey,robert_lipsey,pli259,0,1
w0010.1,Paul W Holland,NA,NA,0,1
w0012.1,Melvin Reder,NA,NA,0,1
w0013.1,Reuben Gronau,reuben_gronau,pgr333,0,1
w0014.2,Paul Wachtel,paul_wachtel,pwa884,0,1
w0015.1,Ray C Fair,ray_fair,pfa24,0,1
w0016.1,David C Hoaglin,david_hoaglin,NA,0,1
w0017.1,Paul J Taubman,paul_taubman,NA,0,1
w0018.1,Isaac Ehrlich,isaac_ehrlich,peh1,0,1
w0019.1,Edward F X Hughes,edward_hughes,NA,0,1
w0019.2,Eugene M Lewit,eugene_lewit,NA,0,1
w0019.3,Richard Handschin,richard_handschin,NA,0,1
w0019.4,Richard N Watkins,richard_watkins,NA,0,1
w0020.1,Victor R Fuchs,victor_fuchs,pfu157,0,1
w0021.1,Robert J Willis,robert_willis,NA,0,1
w0021.2,Robert T Michael,robert_michael,NA,0,1
w0022.1,Michael Grossman,michael_grossman,pgr107,0,1
w0023.1,Warren C Sanderson,warren_sanderson,psa1311,0,1
w0024.1,Alexander H Sarris,alexander_sarris,NA,0,1
w0024.2,Michael Athans,michael_athans,NA,0,1
w0025.1,John C Hause,john_hause,NA,0,1
w0027.1,Arleen Leibowitz,arleen_leibowitz,NA,1,1
w0028.1,Yoram Weiss,yoram_weiss,NA,0,1
w0029.1,Elisabeth M Landes,elisabeth_landes,NA,1,1
w0030.1,Sue Goetz Ross,NA,NA,1,1
w0031.1,Lester D Taylor,NA,NA,0,1
w0032.1,Peter K Clark,peter_clark,NA,0,1
w0033.1,Phillip Cagan,phillip_cagan,NA,0,1
w0034.1,James J Heckman,james_heckman,phe22,0,1
w0037.1,Robert F Engle III,robert_engle,NA,0,1
