paper,name,merge_id
w7425,Brett Katzman,brett_katzman
w8844,Brett Katzman,brett_katzman
w0471,Burton G Malkiel,burton_malkiel
w0576,Burton G Malkiel,burton_malkiel
w0700,Burton G Malkiel,burton_malkiel
w7590,Burton G Malkiel,burton_malkiel
w3624,Catherine A Jackson,catherine_jackson
w3215,Catherine Jackson,catherine_jackson
w5667,Daniel M Garrett,daniel_garrett
w6085,Daniel M Garrett,daniel_garrett
w0189,David E Coleman,david_coleman
w0195,David E Coleman,david_coleman
w10583,Eugene Canjels,eugene_canjels
t0165,Eugene Canjels,eugene_canjels
w0063,Forrest D Nelson,forrest_nelson
w0068,Forrest D Nelson,forrest_nelson
w0070,Forrest D Nelson,forrest_nelson
w0096,Forrest D Nelson,forrest_nelson
w0069,G S Maddala,gs_maddala
w0070,G S Maddala,gs_maddala
w0096,G S Maddala,gs_maddala
w3113,Glenn T Sueyoshi,glenn_sueyoshi
w6175,Glenn T Sueyoshi,glenn_sueyoshi
w4404,John H Boyd,john_boyd
w5045,John H Boyd,john_boyd
w8092,John H Boyd,john_boyd
w4880,John R Penrod,john_penrod
w6435,John R Penrod,john_penrod
w3311,K C Chan,kc_chan
w4074,K C Chan,kc_chan
w4743,K C Chan,kc_chan
w0139,Kenneth E Warner,kenneth_warner
w7047,Kenneth E Warner,kenneth_warner
w0007,Lewis C Solmon,lewis_solmon
w0014,Lewis C Solmon,lewis_solmon
w0480,Mark Gersovitz,mark_gersovitz
w0972,Mark Gersovitz,mark_gersovitz
w1894,Mark Gersovitz,mark_gersovitz
w2204,Mark Gersovitz,mark_gersovitz
w7575,Paras Mehta,paras_mehta
w7952,Paras Mehta,paras_mehta
w2956,Paul J Seguin,paul_seguin
w5179,Paul J Seguin,paul_seguin
w0010,Paul W Holland,paul_holland
w0011,Paul W Holland,paul_holland
w0044,Paul W Holland,paul_holland
w0058,Paul W Holland,paul_holland
w0189,Paul W Holland,paul_holland
w1588,Richard N Clarke,richard_clarke
w10482,Richard N Clarke,richard_clarke
w0058,Richard W Hill,richard_hill
w0078,Richard W Hill,richard_hill
w0082,Richard W Hill,richard_hill
w0084,Richard W Hill,richard_hill
w2290,Robert Van Order,robert_van_order
w2847,Robert Van Order,robert_van_order
w5184,Robert Van Order,robert_van_order
w1513,Ryuzo Sato,ryuzo_sato
w2111,Ryuzo Sato,ryuzo_sato
w2479,Ryuzo Sato,ryuzo_sato
w3314,Ryuzo Sato,ryuzo_sato
w3797,Ryuzo Sato,ryuzo_sato
t0047,Ryuzo Sato,ryuzo_sato
w3491,S Lael Brainard,lael_brainard
w3553,S Lael Brainard,lael_brainard
w3773,S Lael Brainard,lael_brainard
w3980,S Lael Brainard,lael_brainard
w4069,S Lael Brainard,lael_brainard
w4269,S Lael Brainard,lael_brainard
w4580,S Lael Brainard,lael_brainard
w4583,S Lael Brainard,lael_brainard
w4606,S Lael Brainard,lael_brainard
w5958,S Lael Brainard,lael_brainard
w5959,S Lael Brainard,lael_brainard
w3330,S Rao Aiyagari,aiyagari
w3481,S Rao Aiyagari,aiyagari
w6747,S Rao Aiyagari,aiyagari
w7387,Stephan Danninger,stephan_danninger
w7817,Stephan Danninger,stephan_danninger
w4318,Stephen A O'Connell,stephen_oconnell
w15960,Stephen A O'Connell,stephen_oconnell
w4571,Thierry A Wizman,thierry_wizman
w5588,Thierry A Wizman,thierry_wizman
w0094,Vinay Dharmadhikari,vinay_dharmadhikari
w0100,Vinay Dharmadhikari,vinay_dharmadhikari
w0052,Warren G Lavey,warren_lavey
w0091,Warren G Lavey,warren_lavey
w7541,Yi Wu,yi_wu
w8187,Yi Wu,yi_wu
w8611,Yi Wu,yi_wu
