paper,name,new_user_nber
w4515,Caroline M Betts,caroline_betts
w6936,Chaim Fershtman,chaim_fershtman
t0095,Chaim Fershtman,chaim_fershtman
t0096,Chaim Fershtman,chaim_fershtman
w3370,Changyong Rhee,changyong_rhee
w6568,Changyong Rhee,changyong_rhee
w9940,Christopher Blattman,christopher_blattman
w10600,Christopher Blattman,christopher_blattman
t0136,D B Rubin,donald_rubin
w8185,Dahlia K Remler,dahlia_remler
w9130,Dahlia K Remler,dahlia_remler
w6860,Daniel Altman,altman
w7832,Daniel Altman,altman
w4669,Daniel D Goldhaber,dan_goldhaber
w9904,David Austen-Smith,NA
w1267,David C Ling,david_ling
w1352,David C Ling,david_ling
w1524,David C Ling,david_ling
w1740,David C Ling,david_ling
w2289,David C Ling,david_ling
w2305,David C Ling,david_ling
w5180,David C Ling,david_ling
w5116,David N Beede,david_beede
t0257,Dean R Hyslop,dean_hyslop
w6744,Dina Mayzlin,dina_mayzlin
w10148,Dina Mayzlin,dina_mayzlin
w0132,Donald O Parsons,donald_parsons
t0128,Dongchul Cho,dongchul_cho
t0152,Dongchul Cho,dongchul_cho
w1121,Gikas A Hardouvelis,gikas_hardouvelis
w4571,Gikas A Hardouvelis,gikas_hardouvelis
w0376,J Peter Neary,peter_neary
w6870,J Peter Neary,peter_neary
w10730,J Peter Neary,peter_neary
w6944,Jack Porter,jack__porter
w7210,Jack Porter,jack__porter
t0302,Jack R Porter,jack__porter
t0207,Jess Gaspar,jess_gaspar
w10347,Jessica Tjornhom Donohue,jessica_donohue
t0241,Jinyong Hahn,jinyong_hahn
w4822,John A Rizzo,john_rizzo
w8394,John P Conley,john_p_conley
w2898,John W Graham,NA
w5542,Jonathan P Caulkins,jonathan_caulkins
t0173,Jose A Lopez,jose_lopez
t0192,Jose A Lopez,jose_lopez
w8809,Jozef Konings,jozef_konings
w12356,Kasper M Nielsen,kasper_m_nielsen
t0178,Kathryn Graddy,kathryn_graddy
w5626,Kenneth R Troske,kenneth_troske
w5656,Kenneth R Troske,kenneth_troske
w6321,Kenneth R Troske,kenneth_troske
w6997,Kimberly Bayard,kimberly_bayard
w7003,Kimberly Bayard,kimberly_bayard
w9645,Koen Schoors,koen_schoors
w10527,Larry Samuelson,larry_samuelson
w0270,Lawrence W Kenny,lawrence_kenny
w0271,Lawrence W Kenny,lawrence_kenny
w2526,Mark M Pitt,mark_pitt
w5774,Mark Wilhelm,mark_ottoni-wilhelm
w6621,Mark Wilhelm,mark_ottoni-wilhelm
w4779,Mary E Lovely,mary_lovely
w5295,Mary E Lovely,mary_lovely
w6668,Mary E Lovely,mary_lovely
w7762,Mary E Lovely,mary_lovely
w7070,Matthew F Mitchell,matthew_mitchell
w10079,Matthew F Mitchell,matthew_mitchell
w10748,Matthew F Mitchell,matthew_mitchell
w9579,Matthew O Jackson,matthew_jackson
w3453,Maxim Boycko,maxim_boycko
w5136,Maxim Boycko,maxim_boycko
w2241,Michael C Burda,michael_burda
w9207,Michael White,Michant
w9248,N Edward Coulson,edward_coulson
w7962,Neil Gandal,neil_gandal
w9615,Nuno Sousa Pereira,nuno_pereira
w12951,Nuno Sousa Pereira,nuno_pereira
w0628,Paul Strebel,paul_strebel
w4525,Peter E Rossi,peter_rossi
w7981,Peter E Rossi,peter_rossi
w4060,Rafael Rob,rafael_robb
w5871,Rafael Rob,rafael_robb
w10874,Rafael Rob,rafael_robb
w0041,Richard A Posner,richard_posner
w0055,Richard A Posner,richard_posner
w7423,Richard A Posner,richard_posner
w8126,Richard A Posner,richard_posner
w1182,Richard E Quandt,richard_quandt
w1648,Richard E Quandt,richard_quandt
t0046,Richard E Quandt,richard_quandt
t0074,Richard E Quandt,richard_quandt
w1607,Richard H Spady,richard_spady
t0186,Richard H Spady,richard_spady
w0594,Robert A Taggart,robert_taggart
w0737,Robert A Taggart,robert_taggart
w0747,Robert A Taggart,robert_taggart
w0810,Robert A Taggart,robert_taggart
w0866,Robert A Taggart,robert_taggart
w1213,Robert A Taggart,robert_taggart
w1315,Robert A Taggart,robert_taggart
w1441,Robert A Taggart,robert_taggart
w1523,Robert A Taggart,robert_taggart
w3074,Robert A Taggart,robert_taggart
w0912,Robert B Litterman,robert_litterman
w1077,Robert B Litterman,robert_litterman
w1202,Robert B Litterman,robert_litterman
w4607,Robert F Schoeni,robert_schoeni
w5099,Robert F Schoeni,robert_schoeni
w6511,Robert F Schoeni,robert_schoeni
w7627,Robert F Schoeni,robert_schoeni
w0021,Robert T Michael,robert_michael
w0074,Robert T Michael,robert_michael
w0202,Robert T Michael,robert_michael
w0230,Robert T Michael,robert_michael
w0246,Robert T Michael,robert_michael
h0085,Samuel H Preston,samuel_preston
w15960,Stephen A O'Connell,NA
w0003,Swarnjit S Arora,swarnjit_arora
w0026,Swarnjit S Arora,swarnjit_arora
w4665,Sylvester J Schieber,sylvester_schieber
w6966,Sylvester J Schieber,sylvester_schieber
w8897,Sylvie Demurger,sylvie_demurger
w10928,Thomas Stratmann,thomas_stratmann
t0304,Ulrich Doraszelski,ulrich_doraszelski
w0066,Virginia Klema,virginia_klema
w0103,Virginia Klema,virginia_klema
w0130,Virginia Klema,virginia_klema
w0189,Virginia Klema,virginia_klema
w0023,Warren C Sanderson,warren_sanderson
w0036,Warren C Sanderson,warren_sanderson
w2299,Warren C Sanderson,warren_sanderson
w6415,Warren K Bickel,warren_bickel
w6444,Warren K Bickel,warren_bickel
w9340,Wei Fan,wei_fan
t0048,Whitney K Newey,whitney_newey
t0055,Whitney K Newey,whitney_newey
t0285,Whitney K Newey,whitney_newey
w5814,William F Maloney,william_maloney
w9800,William F Maloney,william_maloney
w3954,William F Samuelson,wsamuels
t0177,Wouter J den Haan,wouter_denhaan
t0195,Wouter J den Haan,wouter_denhaan
t0197,Wouter J den Haan,wouter_denhaan
