paper,author
w0001,w0001.01
w0002,w0002.01
w0003,w0003.01
w0004,w0004.01
w0005,w0005.01
w0006,w0006.01
w0007,w0007.01
w0008,w0008.01
w0008,w0008.02
w0009,w0004.01
w0010,w0010.01
w0011,w0010.01
w0012,w0012.01
w0013,w0013.01
w0014,w0007.01
w0014,w0014.02
w0015,w0015.01
w0016,w0016.01
w0017,w0017.01
w0018,w0018.01
w0019,w0019.01
w0019,w0019.02
w0019,w0019.03
w0019,w0019.04
w0020,w0020.01
w0021,w0021.01
w0021,w0021.02
w0022,w0022.01
w0023,w0023.01
w0024,w0024.01
w0024,w0024.02
w0025,w0025.01
w0026,w0003.01
w0027,w0027.01
w0028,w0028.01
w0029,w0029.01
w0030,w0030.01
w0031,w0031.01
w0032,w0032.01
w0033,w0033.01
w0034,w0021.01
w0034,w0034.01
w0035,w0033.01
w0036,w0036.01
w0037,w0037.01
w0038,w0024.01
w0039,w0039.01
w0040,w0040.01
w0041,w0041.01
w0042,w0042.01
w0043,w0043.01
w0044,w0010.01
w0044,w0044.02
w0045,w0045.01
w0045,w0045.02
w0046,w0046.01
w0046,w0046.02
w0046,w0046.03
w0047,w0004.01
w0048,w0048.01
w0048,w0048.02
w0049,w0027.01
w0050,w0034.01
w0050,w0050.02
w0051,w0051.01
w0052,w0052.01
w0053,w0039.01
w0054,w0048.02
w0055,w0041.01
w0056,w0056.01
w0057,w0056.01
w0057,w0057.01
w0058,w0010.01
w0058,w0058.02
w0059,w0059.01
w0060,w0043.01
w0060,w0060.01
w0061,w0061.01
w0062,w0040.01
w0062,w0041.01
w0063,w0068.01
w0064,w0043.01
w0065,w0065.01
w0066,w0066.01
w0066,w0066.02
w0067,w0028.01
w0067,w0067.01
w0068,w0068.01
w0069,w0069.01
w0070,w0068.01
w0070,w0069.01
w0071,w0018.01
w0071,w0071.02
w0072,w0072.01
w0073,w0073.01
w0074,w0074.01
w0075,w0016.01
w0076,w0043.01
w0076,w0046.02
w0077,w0065.01
w0078,w0078.01
w0079,w0079.01
w0080,w0004.01
w0081,w0027.01
w0082,w0082.01
w0083,w0083.01
w0084,w0084.01
w0085,w0056.01
w0085,w0065.01
w0086,w0086.01
w0087,w0008.01
w0087,w0008.02
w0088,w0079.01
w0089,w0089.01
w0090,w0090.01
w0091,w0091.01
w0092,w0051.01
w0093,w0089.01
w0094,w0094.01
w0095,w0079.01
w0095,w0095.01
w0096,w0068.01
w0096,w0069.01
w0097,w0051.01
w0098,w0002.01
w0099,w0028.01
w0100,w0094.01
w0101,w0101.01
w0101,w0101.02
w0101,w0101.03
w0102,w0102.01
w0103,w0046.01
w0103,w0046.03
w0104,w0051.01
w0105,w0019.01
w0105,w0019.02
w0105,w0019.04
w0106,w0106.01
w0106,w0106.02
w0107,w0107.01
w0108,w0020.01
w0109,w0016.01
w0109,w0109.02
w0110,w0040.01
w0110,w0041.01
w0111,w0043.01
w0112,w0021.01
w0112,w0034.01
w0113,w0109.02
w0114,w0114.01
w0114,w0114.02
w0115,w0115.01
w0116,w0107.01
w0117,w0059.01
w0118,w0118.01
w0119,w0065.01
w0120,w0020.01
w0121,w0004.01
w0121,w0028.01
w0122,w0115.01
w0123,w0042.01
w0123,w0123.02
w0124,w0124.01
w0125,w0124.01
w0126,w0126.01
w0127,w0056.01
w0127,w0065.01
w0128,w0056.01
w0128,w0065.01
w0129,w0022.01
w0130,w0046.01
w0130,w0046.03
w0131,w0008.01
w0131,w0008.02
w0132,w0132.01
w0133,w0133.01
w0134,w0022.01
w0134,w0134.01
w0135,w0107.01
w0136,w0136.01
w0137,w0013.01
w0138,w0004.01
w0138,w0028.01
w0139,w0139.01
w0140,w0028.01
w0141,w0051.01
w0142,w0065.01
w0142,w0066.01
w0143,w0039.01
w0143,w0143.01
w0144,w0107.01
w0144,w0144.01
w0145,w0051.01
w0146,w0040.01
w0146,w0041.01
w0147,w0147.01
w0148,w0013.01
w0149,w0072.01
w0149,w0149.01
w0150,w0004.01
w0150,w0021.01
w0151,w0107.01
w0151,w0151.01
w0152,w0107.01
w0153,w0029.01
w0153,w0042.01
w0153,w0147.01
w0154,w0066.01
w0155,w0126.01
w0157,w0157.01
w0157,w0157.02
w0158,w0158.01
w0159,w0159.01
w0160,w0160.01
w0161,w0059.01
w0161,w0143.01
w0162,w0162.01
w0163,w0133.01
w0164,w0164.01
w0165,w0046.03
w0165,w0165.01
w0165,w0165.02
w0166,w0166.01
w0167,w0157.01
w0168,w0051.01
w0169,w0124.01
w0169,w0169.02
w0170,w0160.01
w0171,w0160.01
w0172,w0034.01
w0173,w0043.01
w0173,w0060.01
w0174,w0072.01
w0174,w0174.02
w0175,w0124.01
w0176,w0008.02
w0176,w0176.01
w0177,w0034.01
w0178,w0179.01
w0178,w0179.02
w0179,w0179.01
w0179,w0179.02
w0180,w0022.01
w0180,w0180.01
w0181,w0008.02
w0181,w0176.01
w0182,w0008.02
w0182,w0176.01
w0182,w0182.01
w0183,w0034.01
w0183,w0183.02
w0184,w0042.01
w0185,w0004.01
w0186,w0201.01
w0187,w0144.01
w0188,w0188.01
w0189,w0010.01
w0189,w0046.01
w0189,w0046.03
w0189,w0189.01
w0190,w0190.01
w0190,w0190.02
w0190,w0190.03
w0191,w0190.01
w0191,w0190.02
w0191,w0190.03
w0192,w0190.01
w0192,w0190.02
w0192,w0190.03
w0193,w0201.01
w0193,w0307.01
w0194,w0194.01
w0195,w0189.01
w0196,w0043.01
w0196,w0124.01
w0196,w0196.02
w0197,w0056.01
w0197,w0057.01
w0197,w0197.01
w0198,w0059.01
w0199,w0039.01
w0200,w0200.01
w0201,w0201.01
w0202,w0202.01
w0203,w0144.01
w0204,w0107.01
w0204,w0204.01
w0205,w0179.01
w0205,w0179.02
w0206,w0201.01
w0206,w0212.01
w0207,w0201.01
