paper,year,month,title,outlet
w0001,1973,6,"Education, Information, and Efficiency",NA
w0002,1973,6,"Hospital Utilization: An Analysis of SMSA Differences in Hospital Admission Rates, Occupancy Rates and Bed Rates",2
w0003,1973,6,Error Components Regression Models and Their Applications,2
w0004,1973,7,Human Capital Life Cycle of Earnings Models: A Specific Solution and Estimation,NA
w0005,1973,7,A Life Cycle Family Model,NA
w0006,1973,7,A Review of Cyclical Indicators for the United States: Preliminary Results,2
w0007,1973,8,The Definition and Impact of College Quality,NA
w0008,1973,9,Multinational Firms and the Factor Intensity of Trade,NA
w0009,1973,9,From Age-Earnings Profiles to the Distribution of Earnings and Human Wealth,1
w0010,1973,9,Monte Carlo for Robust Regression: The Swindle Unmasked,NA
w0011,1973,9,Weighted Ridge Regression: Combining Ridge and Robust Regression Methods,NA
w0012,1973,10,Citizen Rights and the Cost of Law Enforcement,2
w0013,1973,10,Wage Comparisons - A Selectivity Bias,1
w0014,1973,10,The Effects on Income of Type of College Attended,2
w0015,1973,10,A Comparison of FIML and Robust Estimates of a Nonlinear Macroeconomic Model,2
w0016,1973,11,Monte Carlo Techniques in Studying Robust Estimators,NA
w0017,1973,11,"Schooling, Ability, Non Pecuniary Rewards, Socioeconomic Background and the Lifetime Distribution of Earnings",3
w0018,1973,11,The Deterrent Effect of Capital Punishment: A Question of Life and Death,1
w0019,1973,12,Utilization of Surgical Manpower in A Prepaid Group Practice,2
w0020,1973,12,Short-Run and Long-Run Prospects for Female Earnings,2
w0021,1973,12,Contraception and Fertility: Household Production Under Uncertainty,3
w0022,1973,12,The Correlation Between Health and Schooling,3
w0023,1973,12,What Happened During the Baby Boom? New Estimates of Age and Parity: Specific Birth Probabilities for American Women,NA
w0024,1973,12,Optimal Adaptive Control Methods for Structurally Varying Systems,NA
w0025,1973,12,The Covariance Structure of Earnings and the On the Job Training Hypothesis,1
w0026,1974,1,Migration Flows and Their Determinants: A Comparative Study of Internal Migration in Italy and the U.S.A.,NA
w0027,1974,1,Production Within the Household,NA
w0028,1974,1,The Wealth Effect in Occupational Choice,2
w0029,1974,1,Male-Female Differences in Wages and Employment: A Specific Human Capital Model,2
w0030,1974,1,The Timing and Spacing of Births and Women's Labor Force Participation: An Economic Analysis,NA
w0031,1974,1,Price Expectations and Household's Demand for Financial Assets,NA
w0032,1974,2,Operational Time and Seasonality in Distributed Lag Estimation,NA
w0033,1974,2,Inflation and Market Structure 1967-1973,3
w0034,1974,2,Estimation of a Stochastic Model of Reproduction: An Econometric Approach,3
w0035,1974,3,Changes in the Recession Behavior of Wholesale Prices: The 1920s and Post World War II,3
w0036,1974,3,Economic Theories of Fertility: What do They Explain?,NA
w0037,1974,4,Interpreting Spectral Analyses in Terms of Time-Domain Models,2
w0038,1974,4,A General Algorithm for Simultaneous Estimation of Constant and Randomly-Varying Parameters in Lineal Relations,NA
w0039,1974,5,Unemployment Effects of Minimum Wages,1
w0040,1974,5,Legality and Reality: Some Evidence on Criminal Procedure,2
w0041,1974,5,Theories of Economic Regulation,2
w0042,1974,6,A Theory of Social Interactions,1
w0043,1974,6,Graphics for Data Analysis,2
w0044,1974,6,The Statistical Analysis of Local Structure in Social Networks,NA
w0045,1974,6,The Incubator Hypothesis: Evidence from Five Cities,NA
w0046,1974,7,The Singular Value Analysis in Matrix Computation,NA
w0047,1974,7,The Distribution of Earnings and Human Wealth in Cycle Context,1
w0048,1974,7,Protection and Competitiveness in Egyptian Agriculture and Industry,NA
w0049,1974,8,Years and Intensity of Schooling Investing,1
w0050,1974,8,Measuring the Effect of an Anti-Discrimination Program,3
w0051,1974,8,"Age, Experience and Wage Growth",1
w0052,1974,8,Transportation/Communication Considerations in the Location of Headquarters for Multi-Establishment Manufacturing Firms,NA
w0053,1974,8,Progress in Human Capital Analysis of the Distribution of Earnings,3
w0054,1974,8,Bilateral Trade as a Development Instrument Under Global Trade Restrictions,NA
w0055,1974,9,Social Costs of Monopoly and Regulation,1
w0056,1974,9,Comparison of Robust and Varying Parameter Estimates of a Macroeconometric Model,2
w0057,1974,9,"Varying-Parameter Supply Functions and the Sources of Economic Distress in American Agriculture, 1866-1914",2
w0058,1974,9,A Monte Carlo Study of Two Robust Alternatives of Least Square Regression Estimation,2
w0059,1974,10,An Analysis of Firm Demand for Protection Against Crime,2
w0060,1974,10,The Variances of Regression Coefficient Estimates Using Aggregate Data,1
w0061,1974,11,Factoring LP Block-Angular Bases,3
w0062,1974,11,The Private Enforcement of Law,2
w0063,1974,12,Censored Regression Models with Unobserved Stochastic Censoring Thresholds,2
w0064,1974,12,"Data Analysis, Communication, and Control",3
w0065,1974,12,Rational Distributed Lag Structural Form--A General Econometric Model,NA
w0066,1974,12,Detecting and Assessing the Problems Caused by Multi-Collinearity: A Use of the Singular-Value Decomposition,NA
w0067,1975,1,Human Capital and Labor Supply: A Synthesis,1
w0068,1974,10,On a General Computer Algorithm for the Analysis of Models with Limited Dependent Variables,2
w0069,1974,10,Ridge Estimators for Distributed Lag Models,3
w0070,1974,10,Analysis of Qualitative Variables,NA
w0071,1975,1,On the Theory of Productive Saving,3
w0072,1974,12,The Goodness of Match,NA
w0073,1975,2,The Role of Physicians in the Production of Hospital Output,2
w0074,1975,3,Variation Across Household in the Rate of Inflation,2
w0075,1975,3,Implementing and Documenting Random Number Generators,NA
w0076,1975,3,Robust Non-Linear Regression Using The Dogleg Algorithm,NA
w0077,1975,3,FIML Estimation of Rational Distributed Lag Structural Form Models,3
w0078,1975,3,Tables of Sample Size For the F-Test in One Way Analysis of Variance Designs,NA
w0079,1975,3,The Consumer Expenditure Function,2
w0080,1975,4,Inequality: Earnings vs. Human Wealth,1
w0081,1975,5,The Parental Bequest to Children,NA
w0082,1975,5,Certain Aspects of Generalized Box-Jenkins Models,NA
w0083,1975,5,Robust Line Estimation With Errors in Both Variables,2
w0084,1975,5,A Comparison of Two Simple Methods for Obtaining Robust Confidence Intervals,NA
w0085,1975,5,On the Identification of Time Varying Structures,NA
w0086,1975,5,The Use of the Box Step Method in Discrete Optimization,NA
w0087,1975,5,Exports and Foreign Investment in the Pharmaceutical Industry,2
w0088,1975,5,"Three-And-A-Half Million U.S. Employees Have Been Mislaid: Or, An Explanation of Unemployment, 1934-1941",1
w0089,1975,6,Alternative Prior Representations of Smoothness for Distributed Lag Estimation,2
w0090,1975,6,The Maximum Likelihood Stage Least Squares Estimator in the Nonlinear Simultaneous Equations Model,1
w0091,1975,6,Autoregressive Spectrum Estimation Technique Allied to Quarterly Consumer Durables Expenditure Data,NA
w0092,1975,6,Schooling as a Wage Depressant,2
w0093,1975,6,Rational Expectations and the Dynamic Structure of Macroeconomic Models: A Critical Review,2
w0094,1975,7,"Decision-Stage Method: Convergence Proof, Special Application, and Computation Experience",NA
w0095,1975,7,"Qualitative Information, Reputation, and Monopolistic Competition",2
w0096,1975,7,Specification Errors in Limited Dependent Variable Models,3
w0097,1975,7,Human Wealth and Human Capital,NA
w0098,1975,7,The Demand for Nursing Home Care: An Analysis of the Substitution Between Institutional and Noninstitutional Care,2
w0099,1975,7,"The Earnings of Scientists, 1960-1970: Experience, Age and Vintage Effects",1
w0100,1975,8,Finding a Dual Feasible Solution to an LP with M Equalities in (l&M) Dual Iterations,NA
w0101,1975,8,Innovation and Foreign Investment Behavior of the U.S. Pharmaceutical Industry,NA
w0102,1975,8,Education and Screening,1
w0103,1975,9,Rosepack Document 1: Guidelines for Writing Semi-portable Fortran,NA
w0104,1975,9,Education: Consumption or Production,1
w0105,1975,10,Time-Utilization of a Population of General Practitioners in a Prepaid Group Practice,2
w0106,1975,10,Parametric Integer Programming the Right Hand Side Case,3
w0107,1975,10,Social Security and Retirement Decisions,2
w0108,1975,10,Are Health Workers Underpaid?,2
w0109,1975,11,Notes on Automating Stem and Leaf Displays,NA
w0110,1975,10,The Independent Judiciary in an Interest-Group Perspective,2
w0111,1975,11,Confidence Regions for Robust Regression,NA
w0112,1975,11,A Beta-Logistic Model for the Analysis of Sequential Labor Force Participation by Married Women,1
w0113,1975,11,Random Directed Graph Distributions in the Triad Census in Social Networks,2
w0114,1975,11,On the Measurement of Benefits in an Urban Context: Some General Equilibrium Issues,2
w0115,1975,11,"The Production of Health Services in Fee for Service, for Profit Health Practices: The Case of Optometrists",2
w0116,1975,11,Notes on the Tax Treatment of Human Capital,3
w0117,1980,4,Job Mobility and Earnings Growth,2
w0118,1975,12,The International Transfer of Semi-Conductor Technology Through U.S. Based Firms,NA
w0119,1976,1,Interequation Constraint and the Specification of Dynamic Structure,NA
w0120,1976,1,"From Bismark to Woodcock: The ""Irrational"" Pursuit of National Health Insurance",2
w0121,1976,1,Analysis of Longitudinal Earnings Data: American Scientists 1960-70,1
w0122,1976,2,The Market for Optometric Services in the United States,3
w0123,1976,2,"Child Endowments, and the Quantity and Quality of Children",1
w0124,1976,2,Representing Symmetric Rank Two Updates,NA
w0125,1976,3,On Modifying Singular Values to Solve Possible Singular Systems of Non-Linear Equations,NA
w0126,1976,3,Transnational Activity and Market Entry in the Semiconductor Industry,NA
w0127,1976,3,Identification Theory for Time Varying Models,NA
