program,program_desc
AG,Economics of Aging
AP,Asset Pricing
CF,Corporate Finance
CH,Children
DAE,Development of the American Economy
DEV,Development Economics
ED,Economics of Education
EEE,Environment and Energy Economics
EFG,Economic Fluctuations and Growth
HC,Health Care
HE,Health Economics
IFM,International Finance and Macroeconomics
IO,Industrial Organization
ITI,International Trade and Investment
LE,Law and Economics
LS,Labor Studies
ME,Monetary Economics
PE,Public Economics
POL,Political Economics
PR,"Productivity, Innovation, and Entrepreneurship"
TWP,Technical Working Papers
