paper,program
74,EFG
87,IFM
87,ITI
107,PE
116,PE
117,LS
129,HE
131,IFM
131,ITI
134,HE
135,PE
141,LS
145,LS
178,ME
182,ME
184,PR
186,PE
188,EFG
193,PE
198,LS
199,LS
201,EFG
204,PE
205,ME
206,PE
207,PE
210,LE
211,HE
212,PE
213,HE
216,LS
216,PR
217,LE
218,ME
219,HE
221,PE
224,LS
225,LS
226,EFG
227,LE
228,LS
229,EFG
230,CH
231,ME
232,PE
234,PE
235,ME
236,HE
239,ME
240,HE
241,PE
242,LS
243,PE
248,LS
249,LS
250,PE
251,EFG
252,EFG
253,PE
254,PE
255,PE
256,HE
257,PE
258,ME
259,PE
261,ME
262,CH
263,LE
266,CF
269,PE
272,PE
273,LS
274,LS
275,PE
276,PE
277,LS
278,LS
279,EFG
280,LS
282,LS
283,EFG
284,EFG
284,ME
285,LS
286,LE
287,IFM
287,ITI
288,EFG
288,IFM
288,ITI
289,IFM
289,ITI
290,EFG
290,IFM
290,ITI
292,LS
293,IFM
293,ITI
294,ME
295,ME
296,PE
298,PE
299,LS
300,EFG
301,LS
302,PE
303,EFG
303,ME
304,EFG
305,LS
306,EFG
307,IFM
307,ITI
307,PE
308,HE
309,LS
310,IFM
310,ITI
310,PE
311,IFM
311,ITI
312,PE
313,EFG
314,PE
315,LS
316,LS
317,IFM
317,ITI
317,PE
318,EFG
319,PE
322,EFG
324,PE
325,LS
326,EFG
327,IFM
327,ITI
329,EFG
330,LS
331,PE
332,LS
333,IFM
333,ITI
334,PE
335,IFM
335,ITI
336,IFM
336,ITI
337,PE
338,LE
339,EFG
340,IFM
340,ITI
341,EFG
342,LS
343,EFG
344,PR
345,ME
346,PR
348,ME
349,PE
350,LS
352,IFM
352,ITI
353,LS
354,ME
355,PE
356,IFM
356,ITI
357,LS
358,PR
359,PR
360,PR
361,EFG
362,PE
363,LS
364,LS
365,LS
366,ME
367,IFM
367,ITI
368,PE
369,EFG
370,ME
370,PE
371,IFM
371,ITI
372,AG
373,ME
374,DAE
375,DAE
376,PE
377,IFM
377,ITI
378,LS
380,IFM
380,ITI
381,EFG
382,IFM
382,ITI
383,PE
384,LS
385,EFG
386,EFG
388,PE
389,IFM
389,ITI
390,IFM
390,ITI
391,IFM
391,ITI
393,LS
394,LS
395,PE
396,LS
397,LS
398,HE
399,LS
400,LS
400,PR
401,LS
402,PE
403,PE
404,PE
405,CH
406,IFM
406,ITI
407,IFM
407,ITI
408,PR
409,PE
410,ME
411,PE
412,IFM
412,ITI
413,PE
414,EFG
414,IFM
414,ITI
415,LS
416,HE
417,HE
418,EFG
419,HE
420,LE
421,LS
422,PE
423,PR
424,EFG
424,LS
425,EFG
426,IFM
426,ITI
427,EFG
427,PR
428,PE
429,IFM
429,ITI
430,EFG
431,EFG
432,EFG
433,EFG
434,PR
435,EFG
436,PE
437,IFM
437,ITI
438,PR
439,IFM
439,ITI
440,EFG
441,PR
442,ME
442,PE
443,EFG
444,ME
446,LS
447,ME
447,PE
448,EFG
448,PE
449,IFM
449,ITI
450,EFG
450,IFM
450,ITI
451,HE
452,EFG
452,IFM
452,ITI
453,EFG
453,IFM
453,ITI
454,HE
455,EFG
456,ME
457,PE
458,ME
459,EFG
460,EFG
461,IFM
461,ITI
462,IFM
462,ITI
463,LE
464,EFG
465,PE
466,IFM
466,ITI
467,PE
468,PE
469,IFM
469,ITI
470,ME
471,ME
472,IFM
472,ITI
473,IFM
473,ITI
474,IFM
474,ITI
475,IFM
475,ITI
476,IFM
476,ITI
477,PE
478,LS
479,LS
480,PE
481,PE
482,IFM
482,ITI
483,PE
484,LS
485,IFM
485,ITI
486,LS
487,PE
488,EFG
489,EFG
490,EFG
491,EFG
492,IFM
492,ITI
493,IFM
493,ITI
494,IFM
494,ITI
495,PE
496,EFG
496,PE
497,PE
498,EFG
499,PE
500,IFM
500,ITI
