forename,males,females,total
aadi,2,0,2
aadil,2,0,3
aaisha,0,2,5
aakash,9,0,16
aalap,3,0,4
aaliyah,0,22,34
aamer,2,0,3
aamir,11,0,19
aan,0,2,5
aaron,880,1,1706
aarthi,0,4,5
aarti,0,10,31
aashish,4,0,9
aasim,5,0,6
aayush,2,0,3
ab,7,2,15
aba,1,3,8
abad,2,0,2
abass,2,0,2
abayomi,4,0,5
abba,6,0,7
abbas,15,0,38
abbe,0,14,32
abbey,4,36,78
abbi,0,4,12
abbie,0,20,58
abbigail,0,2,3
abbii,0,2,2
abbiola,0,2,2
abbott,1,1,3
abby,7,208,520
abdalla,4,0,5
abdallah,3,0,6
abdel,18,0,24
abdelrahman,3,0,5
abder,2,0,2
abdi,2,0,4
abdiel,9,0,13
abdo,3,0,4
abdool,2,0,4
abdou,6,0,10
abdoul,10,0,16
abdoulaye,11,0,17
abdul,110,1,152
abdulaziz,5,0,7
abdulla,6,0,6
abdullah,26,0,49
abdullahi,3,0,5
abdullai,2,0,2
abdul-qadir,2,0,2
abdulrahman,5,0,7
abdur,5,0,7
abdurrahman,2,0,3
abdussamet,2,0,2
abe,82,0,151
abeba,0,2,4
abedin,3,0,3
abeer,0,2,8
abel,57,0,88
abelardo,5,0,7
abena,0,24,38
abey,7,0,9
abha,0,5,9
abhay,7,0,17
abhi,14,0,24
abhijeet,3,0,6
abhijit,2,0,10
abhilash,9,0,10
abhimanyu,2,0,3
abhinav,14,0,21
abhinay,2,0,3
abhishek,51,0,68
abi,8,14,41
abid,11,0,19
abida,0,2,5
abidemi,1,2,4
abie,19,2,41
abiel,3,0,5
abiezer,2,0,3
abigail,0,165,381
abigale,0,3,6
abimael,3,0,5
abimbola,2,3,11
abin,2,0,3
abiodun,2,2,9
abiola,0,10,24
abir,8,1,17
abishai,3,0,4
abishek,2,0,2
abm,2,0,3
abner,11,0,14
abo,2,0,4
abosede,0,2,2
abou,5,0,8
aboubacar,2,0,6
abra,0,2,7
abraham,123,0,208
abrahan,3,0,4
abrar,2,0,8
abril,0,3,3
abu,23,1,35
abubakar,5,0,7
abul,5,0,12
aby,8,0,14
ac,8,3,22
acacia,0,3,13
ace,41,1,70
achille,2,0,3
achilles,11,0,14
achim,2,0,3
achmed,3,0,3
achva,2,0,2
achyut,3,0,3
acid,3,0,6
ackeem,2,0,3
ackim,2,0,2
acosta,1,1,6
ad,4,3,10
ada,2,85,169
adaeze,0,2,6
adah,0,4,6
adair,0,4,7
adalberto,12,0,17
adalgisa,0,6,8
adalisa,0,2,3
adaliz,0,3,3
adam,1802,4,3697
adama,6,6,15
adams,7,2,12
adana,0,4,7
adanna,0,9,14
adar,1,2,4
adara,0,4,4
adarsh,2,0,5
adasa,0,2,2
addam,2,0,2
addi,2,1,6
addie,1,16,40
addis,4,2,9
addison,11,2,26
addy,6,14,32
ade,21,6,51
adebayo,8,1,14
adebisi,2,1,4
adebola,0,3,7
adedayo,3,1,7
adedotun,3,0,4
adeeb,2,0,3
adeel,17,0,29
adegboyega,3,0,3
adeina,0,2,2
adejoke,0,3,4
adekemi,1,1,4
adekunle,8,0,9
adel,21,4,54
adela,1,18,41
adelaida,0,10,14
adelaide,0,11,22
adele,0,72,133
adeleke,2,0,3
adelia,0,2,3
adelina,0,21,35
adeline,0,21,42
adelle,0,4,8
adelso,3,0,5
adem,17,0,21
ademola,7,0,9
aden,0,2,7
adena,0,11,24
adenike,0,5,12
adeniyi,3,0,8
adeola,4,8,25
adepeju,0,3,4
adesh,2,0,3
adesina,1,1,2
adesoji,2,0,3
adesola,1,2,3
adetola,1,1,3
adetoun,0,3,3
adetunji,2,0,3
adewale,7,1,14
adey,2,0,3
adeyemi,5,1,8
adeyinka,3,2,6
adham,8,0,10
adi,22,31,101
adiana,0,2,3
adianez,0,2,2
adib,4,0,5
adie,1,1,6
adiel,6,0,7
adika,3,0,4
adil,24,0,42
