name,new_female
Bent Hansen,0
Berry K Wilson,0
Bohyong Kang,-1
Brook S Payner,0
Carey Borkoski,1
Chaipat Sahasakul,-1
Chang-Ho Yoon,-1
Changqi Wu,0
Chauncey J Medberry,0
Che-Hsiung Hong,0
Chen-Chien Hsun,0
Chi-Yuan Liang,0
Ching-to Albert Ma,0
Chong-Bum An,0
Chul-In Lee,-1
Chun-Chung Au,-1
Ciska M Bosman,1
D Filipovic,0
D Lee Heavner,0
Dae Il Kim,0
Daekuen Park,0
Dagobert L Brito,0
Dietrich Fausten,0
Dobrin R Kolev,-1
Dominique Demougin,0
Dominique Simard,1
Dong-Hyun Ahn,0
Dongsheng Zhou,0
Dorsati Madani,1
Efe A Ok,0
Erkki Koskela,0
Esel Y Yazici,0
Farahmand Rezvani,0
Fukujyu Yamazaki,-1
Fung Mey Huang,1
G S Maddala,0
Guorn Liu,-1
Guttorm Schjelderup,0
H M Shefrin,0
Haishan Fu,1
Hannu Halttunen,-1
Heejoon Kang,0
Hirschel Kasper,0
Hirshi Yoshikawa,0
Hsien-Hen Lu,-1
Hwikwon Ham,0
Il'dar Karimov,0
Ilho Yoo,-1
Inmoo Lee,0
J R Kearl,0
J S Flemming,0
J Weinblatt,0
Jai Asundi,0
Jaime Casassus,0
Jaisri Gangadharan,1
Jamie F Chriqui,1
Jan Boone,0
Jan Haaland,0
Jan Olson,1
Jan Sodersten,-1
Jan Won Park,-1
Jaroslava K Mykula,-1
Jayachandran N Variyam,0
Jayanthi Krishnan,1
Jean Geanakoplos,0
Jean Lemaire,0
Jean Mitchell,-1
Jeeman Jung,-1
Jia Chan,1
Jia-Dong Shea,0
Jian-Ye Wang,0
Jiann-Chyuan Wang,0
Jinyong Cai,0
Jody Overland,0
Jongmoo Jay Choi,0
Jordan Heinz,0
Jung-Der Wang,1
Jungshik Kim,0
Junhan Kim,0
Justas Staisiunas,0
K C Chan,0
K C John Wei,0
K C O'Shaughnessy,0
K V Ramaswamy,0
Katsunori Watanabe,-1
Kedran Garrison,1
Kerry A Odell,1
Kooyul Jung,0
Kudret Topyan,0
Kuen-Hung Tsai,0
Kyoungsik Kang,-1
L Johnston,0
Lacy Glenn Thomas,0
Lalith Munasinghe,0
Lee A Lillard,0
Lee R Thomas,0
Lee Redding,0
Leslie Eldenburg,1
Leslie Perreault,0
Li Gu,1
Lianfi Li,-1
Ling Hui Tan,1
Lingxin Hao,1
Louis-Paul Pele,0
M C Farrelly,0
M H Franco Wong,0
Merle Yahr Weiss,-1
Miao Wang,1
Michal Barzuza,1
Michel Glower,1
Min-Teh Yu,0
Moon-Whoan Rhee,0
Moroz Vadim,-1
Motoshige Itoh,0
Naiping Lu,-1
Nengjiu Ju,0
Nienke Oomes,1
Niko Canner,0
Noriyoshi Shiraishi,0
O G Dayaratna Banda,0
Ofair Razin,0
P H Kevin Chang,0
P M O'Malley,0
Partha Sen,0
Pekka Hietala,0
Pisun (Tracy) Xu,1
Piyabha Kongsamut,1
Prajit K Dutta,0
Qi Li,0
Qinglai Meng,0
R A Pecchenino,1
R Jean Haurin,1
Raghbendra Jha,0
Rama Katkar,1
Rama V Ramachandran,0
Rangarajan K Sundaram,0
Refik Erzan,0
Robin Allen,1
Robin Grieves,0
Rossitza B Wooster,1
Ryuzo Sato,0
S Lael Brainard,1
S Nicholas,0
Sang-Hyop Lee,0
Sang-Seung Yi,0
Schuyler Tilly,0
Seng-Su Tsang,0
Seppo Ikaheimo,0
Shantaram Hegde,0
Shuming Bao Gene Chang,0
Shunichi Tsutsui,0
Shunli Yao,0
Sigbjorn Sodal,0
Sjak Smulders,0
Subramanian Rangan,0
Suchin Virabhak,1
Suddhasatwa Roy,-1
Sukkyun Chung,1
Sumon Majumdar,0
Sung-Bae Mun,-1
Surachai Khitatrakun,0
Sy-Ming Guu,0
T Huw Edwards,0
T J Wales,0
Takato Hiraki,0
Takatsugu Kouno,-1
Takayuki Watanabe,-1
Terry J Fitzgerald,0
Thorvaldur Gylfason,0
Tianlun Jian,0
Tohru Inoue,0
Tomaso Poggio,0
Tzu-Han Yang,1
Ulf-G Gerdtham,0
V G Narayanan,0
Val Eugene Lambson,0
Van Kolpin,0
Varoujan Khatachtrian,-1
Viken Tchakerian,0
Viliam Druska,0
W Schachermayer,0
Wai-Ming Fong,0
Wan Wong,-1
Waseen Noor,0
Weiping Zhou,0
Wen-Ling Lin,-1
Wolter H J Hassink,0
Xiaomin Chen,-1
Xiaoyi Yan,1
Xinyu Hua,0
Yeongseop Rhee,0
Yeonho Lee,-1
Yeung Lewis Chan,0
Yi Wu,-1
Yingjin Hila Gan,1
Young-Hye Cho,1
Young-Kyu Moh,0
Yunhi Won,-1
YuQing Shen,0
Zhaohui Chen,0
Zhaoyong Zhang,0
Zhu Li Jing,-1
