user_nber,new_female
aaditya_mmattoo,0
Aakaash_Rao,0
aakrit__joshi,0
aart_dezeeuw,0
aart_kraay,0
aasthaa_basu,1
abdelhak_senhadji,0
abdolkarim_sadrieh,0
abon_mozumdar,0
aboozar_hadavand,0
ABrinatti,1
achyuta_adhvaryu,0
actonril,1
adalbert_mayer,0
adam_chen,0
adi__choen_,-1
adi_boiko,0
adi_brender,0
adi_shany,1
adi_sunderam,0
adrian_buss,0
adrian_gottschalk,0
adrian_hamins-puertolas,0
adrian_pagan,0
adrian_stoian,0
adrian_towse,0
adrien_auclert,0
adrien_bilal,0
adrien_bouguen,0
adrien_dgavernas,0
adrien_matray,0
adrien_verdelhan,0
afras_sial,0
agar_brugiavini,1
agha_akram,0
ahaguiar,0
Ahu_yildirmaz,1
ai_tee_koh,1
aidan_coville,0
aifan_ling,0
aihiko_matsui,0
aiyesha_dey,1
aiyou_chen,0
ajin_lee,1
ake_gunnelin,0
akira_konakayama,0
akira_sasahara_1,0
akira_takeishi,0
akos_valentinyi,0
akshaya_jha,0
alain_monfort,0
alaka_holla,1
aleh_tsyvinski,0
alexi_savov,0
alexis_antoniades,0
alexis_diamond,0
alexjuziao,0
ali__makhdoumi,0
ali_cheema,0
ali_dib,-1
ali_hortacsu,0
ali_karimirad,0
ali_moghtaderi,0
ali_ozdagli,0
ali_protik,0
ali_raja,0
ali_shourideh,0
ali_sina_onder,0
ali_yurukoglu,0
alisdair_mckay,0
alix_zwane,1
allanzhu01,0
allaudeen_hameed,0
almos_telegdy,0
aloisio_araujo,0
alphecca_muttardy,1
aluma_dembo,1
alvin7862,0
amalavoyal__chari,0
amartya_lahiri,0
ambropo,0
aminou_arouna,0
amiyatosh_purnanandam,0
an-chi_tung,0
ana_mocanu,-1
andra_ghent,1
andree-anne_fournier,1
andrin_pelican,0
andy0903,0
angel_cuevas,0
angel_estrada,0
angel_iglesias,-1
angshuman_gooptu,0
anh_le,0
anh_tran,0
AnhLe,1
anindya_banerjee,0
anindya_chakrabarti,0
anindyasen,0
aniol_llorente-saguer,0
aniruddh_mohan,0
anmol_bhandari,0
anne-line__koch_helso,1
anne-lore_fraikin,1
ansgar__wubker,0
ansgar_walther,0
antoinette_schoar,1
antti_petajisto,0
anuk__serechetapongse,1
anusua_datta,1
ao_wang,0
aparajita_goyal,1
apoorv_gupta,0
aprajit_mahajan,0
aqj474,1
arata_ito,0
arcenis_rojas,-1
Areendam_chanda,0
arghya_ghosh,0
argia_sbordone,1
ari_bronsoler,0
ari_hyytinen,0
ari_juels,0
ari_kokko,0
ari_kuncoro,0
ari_levine,0
arie_bregman,0
arie_kapteyn,0
arie_melnik,0
ariel_benyishay,0
ariel_binder,0
ariel_burstein,0
ariel_dorastern,1
ariel_fishman,0
ariel_goldszmidt,0
ariel_Kalil,1
ariel_pakes,0
ariell_reshef,0
ariell_zimran,0
arild_aakvik,0
arindrajit_dube,0
aris_stouraitis,0
arizo_karimi,1
arkadipta__ghosh,0
arlete_mahumane,1
arminio_fraga,0
arnar_buason,0
arngrim_hunnes,0
arseny_mamedov,0
arturs_kalnins,0
arunima_sinha,1
arvids_ziedonis,0
asadul__islam,0
Ashantha,0
ashesh_rambachan,0
Ashlesha_datar,1
aspen_gorry,0
assar_lindbeck,0
assem_safieddine,0
asuman_ozdaglar,1
ataman_ozyildirim,0
ateev_mehrotra,0
atheendar_venkataramani,0
atila_abdulkadiroglu,0
atonu__rabbani,0
atreya_chakraborty,0
atsuhiro_yamada,0
aubhik_khan,0
ausmita_ghosh,1
avanidhar_subrahmanyam,0
avery__calkins,1
avery_guest,0
awash_teklehaimanot,0
axm359,0
aydogan_alti,0
aydogan_ulker,0
aymeric_bellon,0
azarakhsh_malekian,1
azi_benrephael,0
azucker,1
b._ravikumar,0
babar_sultan,0
baboucarr_bouy,0
babur_delossantos,0
bach4u,0
banani_nandi,1
Banban_Wang,1
banu_demir,1
baolian_wang,0
baoni,1
baozhong_yang,0
barra_Roantree,0
bartek_woda,-1
basant_kapur,0
basimenye_nhlema,1
BasJacobs,0
basterweel,0
bbonadio,0
bc1105,0
beenlon_chen,0
beethina_kahn,1
beeyan_awroberts,1
bei_liu,1
belgi_turan,1
bence_bardoczy,0
benjarong_suwankiri,0
bent_sorensen,0
beomsoo_kim,0
berardino_palazzo,0
bergljot_barkbu,1
bfeng1,0
bhagwan_chowdhry,0
bhashkar_mazumder,0
bhaskaran_swaminathan,0
bhaven_sampat,0
bidemi_carrol,1
bihjane_liu,1
bilge_erten,1
bilgehan_karabay,0
billie_davis,1
bilyana_bogdanova,1
bin_ke,0
bin_wei,0
bin_zhao,1
bingjing_li,1
bingxu_chen,0
bingyang_li,-1
binkai_chen,0
binying_liu,0
bippolito,0
biqin_xie,1
bisakha_sen,1
bjart_holtsmark,0
bjorn-jakob_treutler,0
bluehaven,0
bnaya_dreyfuss,0
bo_becker,0
bo_chen,0
bo_cowgill,0
bo_honore,0
bo_li_2,1
bo_soderberg1,0
bo_wang,0
bo_zhao,0
bo_zhou_1,1
bocar_ba,0
bochen_cao,0
bodo_sturm,0
bogang_jun,1
bokyung.kim,1
bondan_sikoki,1
bong-chan_kho,0
boon_wah_kwan,0
bora_durdu,0
bora_ozaltun,0
boragan_aruoba,0
borghan_narajabad,0
boriana_miloucheva,1
botond_koszegi,0
boyang_liu,-1
boyang_zhang,0
bpshang,0
bralind_kiri,0
braz_camargo,0
brennan_platt,0
breno_braga,0
britneywu,1
brooks_depro,0
brooks_pierce,-1
brooks_robinson,0
Bucher-Koenen,1
burhanettin_kuruscu,0
byeong-je_an,0
byung-joo_lee,0
byung-kun_rhee,-1
byung-kwang_yoo,0
Byungkyu_Lee,0
cagri_kumru,0
caixia_shen,1
cajeme_villarreal,0
